Title: The flare catalog and the flare activity in the Kepler mission 
Authors: Yang H., Liu J. 
Table: Parameters of flaring stars
================================================================================
Byte-by-byte Description of file: apjsab0d28t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label   Explanations
--------------------------------------------------------------------------------
   1-  9 I9     ---       KIC     Kepler Input Catalog identifier
  11- 13 I3     ---       Num     Number of flares
  15- 19 I5     K         Teff    Effective temperature
  21- 24 F4.2   [cm/s2]   log(g)  log surface gravity
  26- 33 E8.2   ---       Lum     Flare to bolometric luminosity ratio
  35- 39 F5.2   d         Prot    Rotational period
  41- 49 A9     ---     r_Prot    Reference code for Prot (1)
  51- 52 A2     ---       NS      Neighboring star code (2)
--------------------------------------------------------------------------------
Note (1):
       MC2014 = McQuillan et al. (2014) [2014ApJS..211...24M];
    This_Work = This work;
     Rein2013 = Reinhold et al. (2013) [2013A&A...560A...4R].
Note (2):
    np = no neighboring star;
     p = neighboring star.
--------------------------------------------------------------------------------
008935655 491  3694 4.69 5.22e-07  2.00 MC2014    np 
009201463 489  3319 5.14 1.83e-06  5.55 This_Work np 
008093473 438  3360 4.96 5.10e-07  6.04 MC2014    np 
004248763 410  4353 4.57 4.92e-07  1.79 MC2014    np 
010332732 402  3310 5.01 5.10e-07  3.49 MC2014    np 
007131515 401  3838 4.65 6.58e-07  3.86 MC2014    np 
007117293 395  3377 4.95 4.22e-07  2.73 MC2014    np 
010857583 394  3577 4.94 4.88e-07 10.97 MC2014    np 
011145819 388  3673 4.69 4.35e-07  4.33 MC2014    np 
002692704 387  3792 4.66 3.52e-07 14.90 MC2014    np 
011147271 387  3336 4.98 4.23e-07  1.88 MC2014    np 
012314646 387  3444 4.93 3.14e-07  2.72 MC2014    np 
008814775 386  3348 4.97 3.46e-07  2.29 MC2014    np 
010355809 381  4064 4.72 2.81e-07  1.52 This_Work np 
008748280 367  4535 4.58 9.14e-07 18.48 This_Work np 
006949412 366  3666 4.80 6.24e-07  1.65 MC2014    np 
009453011 360  3760 4.79 1.49e-07  9.84 This_Work np 
007592133 356  3324 5.03 2.02e-07 10.72 MC2014    np 
009267818 354  3573 4.90 3.92e-07 10.66 MC2014    np 
009349698 346  5035 4.66 3.77e-07  1.36 MC2014    np 
007350067 344  3236 5.10 3.45e-07  3.51 MC2014    np 
011137723 338  3274 5.04 1.20e-06  5.96 MC2014    np 
009540467 332  3919 4.68 1.92e-07  8.56 Rein2013  np 
010065745 329  3411 4.99 4.28e-07  2.08 MC2014    np 
004142890 328  3683 4.69 1.12e-07 18.76 MC2014    np 
008947255 326  3504 4.86 2.57e-07  7.45 MC2014    np 
007732964 326  4949 4.62 3.80e-07  2.45 This_Work np 
006187639 325  5390 3.51 4.93e-07  2.98 This_Work np 
004758595 325  3572 4.86 9.39e-08 20.00 Rein2013  np 
006608436 322  5295 4.53 5.13e-07  3.32 This_Work np 
003526481 320  5687 3.76 1.84e-07 14.56 MC2014    np 
003540728 319  5015 4.70 3.16e-07  2.13 MC2014    np 
009116222 318  5152 3.25 7.12e-07  7.41 This_Work np 
005344895 318  4472 4.57 3.89e-07  3.49 MC2014    np 
008507979 318  3673 4.69 6.47e-07  1.22 MC2014    np 
011708843 317  5254 4.55 5.27e-07  1.20 MC2014    np 
007871438 313  3756 4.75 2.00e-07  2.85 MC2014    np 
006535050 313  6054 3.91 2.92e-07  2.41 MC2014    np 
010975238 310  3794 4.76 3.72e-07  1.95 MC2014    np 
010067340 309  3407 4.92 3.05e-07  5.64 MC2014    np 
012646841 309  3344 4.98 8.38e-07  3.25 Rein2013  p  
011912947 305  3440 4.93 6.03e-07  2.82 MC2014    np 
008611876 304  3288 5.03 4.23e-07  1.58 MC2014    np 
011560431 304  5367 4.51 6.54e-08  3.08 MC2014    np 
009456920 303  4074 4.61 1.34e-07  1.78 MC2014    np 
006129451 301  3891 4.67 3.68e-07  3.29 MC2014    np 
005342558 296  3154 5.13 3.11e-07  8.49 This_Work p  
008481420 296  4809 4.55 3.27e-07  2.04 This_Work np 
011495571 294  3315 5.00 3.11e-07 13.64 MC2014    np 
009941718 292  3521 4.93 2.47e-07  3.70 MC2014    np 
002968811 291  4697 2.27 4.93e-07 14.80 This_Work np 
004349043 290  4575 4.56 6.92e-07  2.65 MC2014    np 
011961075 289  3412 4.92 2.92e-07  4.36 MC2014    np 
011342883 288  4298 4.80 4.45e-07  3.64 Rein2013  np 
006117602 286  2661 5.28 1.71e-07 -1.00 This_Work np 
008292758 286  3982 4.67 5.48e-07  2.88 MC2014    np 
012102573 286  4474 4.56 2.16e-07  2.74 MC2014    np 
011135986 284  5125 3.21 4.33e-07  8.71 This_Work np 
010909367 280  3805 4.73 3.47e-07  2.98 MC2014    np 
009549091 279  5110 3.82 2.82e-07  3.10 Rein2013  np 
007664485 279  5521 4.59 2.69e-07  3.16 MC2014    np 
010666510 278  5155 2.62 1.61e-07 20.50 This_Work np 
005962532 274  5065 4.61 6.08e-07  2.07 MC2014    np 
007191311 271  3677 4.84 1.21e-07  3.77 MC2014    np 
010146539 271  3373 4.95 1.94e-07  5.17 MC2014    np 
011244150 271  3738 4.76 3.07e-07  8.99 MC2014    np 
009414097 268  4160 4.62 3.94e-07  1.88 MC2014    np 
008226464 268  6028 4.04 9.70e-08  3.13 MC2014    np 
011856076 266  4270 4.59 2.39e-07  2.21 MC2014    np 
007905458 265  5017 4.61 3.04e-07 17.98 MC2014    np 
009945771 264  3799 4.74 5.02e-07  2.69 MC2014    np 
008487242 263  4843 4.68 4.72e-07  2.40 MC2014    np 
007264976 263  5038 3.86 1.75e-07 12.39 MC2014    np 
003971507 262  5455 3.96 5.12e-07  2.33 This_Work np 
009446742 261  5087 3.76 1.06e-06  4.35 This_Work np 
012258055 261  4113 4.62 2.19e-07  2.75 MC2014    np 
010865206 260  4689 4.58 2.91e-07  2.42 MC2014    np 
007692454 259  3824 4.68 6.10e-08 16.69 MC2014    np 
008811811 258  4114 4.61 4.34e-07  1.55 MC2014    np 
011246246 258  4983 4.58 3.29e-07  2.23 This_Work np 
004158372 256  4267 4.61 2.03e-07  8.01 MC2014    np 
008651471 256  5250 4.52 2.64e-07  3.49 MC2014    np 
007741987 255  3360 5.03 3.71e-07  1.26 MC2014    np 
005351320 254  3360 4.96 3.88e-07  0.91 Rein2013  np 
011515713 254  5657 3.50 1.08e-07 21.45 Rein2013  np 
007676676 253  4905 3.14 6.25e-07 16.05 This_Work np 
006675714 252  4186 4.62 2.65e-07  6.76 MC2014    np 
003103752 250  3388 4.94 4.12e-07  4.78 MC2014    np 
004646159 249  5229 3.60 3.29e-07  3.27 Rein2013  np 
012109430 249  4487 4.61 4.96e-07 11.97 This_Work np 
007033830 248  3384 4.94 4.69e-07  4.00 MC2014    np 
011551404 248  4975 3.06 5.12e-07 11.01 This_Work np 
007838383 247  7077 4.29 2.76e-07  1.05 Rein2013  p  
008414845 247  5693 4.44 1.33e-07  1.91 MC2014    np 
004665568 246  6046 3.99 3.36e-07  2.06 MC2014    np 
011925804 246  3722 4.80 1.47e-07 -1.00 This_Work np 
006843185 243  4331 4.59 9.41e-07  5.58 Rein2013  np 
009093349 242  5130 3.43 5.38e-07  5.48 This_Work np 
002285420 242  4174 4.66 2.13e-07  2.68 This_Work np 
005262561 241  3625 4.79 3.01e-07  7.91 MC2014    np 
006203421 241  5377 4.57 2.54e-07  2.15 MC2014    np 
008454353 239  3514 4.89 3.54e-07  1.50 MC2014    np 
006437385 239  5727 3.71 1.54e-07 13.62 MC2014    np 
007899428 239  4914 4.55 2.11e-07 11.49 This_Work np 
007266428 238  5095 3.53 3.69e-07  8.52 Rein2013  np 
003832966 238  5340 4.56 3.16e-07  3.00 MC2014    np 
005962956 237  3515 4.89 3.01e-07  1.40 MC2014    np 
006707805 237  5258 3.29 4.30e-07 21.72 This_Work np 
009392349 234  5623 4.51 1.24e-07 13.97 MC2014    np 
010603977 234  4946 3.32 2.08e-07 17.98 This_Work np 
007377946 233  5127 4.56 3.21e-07  3.25 This_Work np 
008479655 233  5277 4.62 2.08e-07 19.17 MC2014    np 
006356144 232  3764 4.79 3.51e-07  5.37 MC2014    np 
003528198 232  4654 4.75 3.21e-07  5.85 MC2014    np 
009828292 230  3770 4.75 2.39e-07  9.70 MC2014    np 
004273689 230  5173 3.47 2.15e-07 29.18 Rein2013  np 
010412044 229  3651 4.80 2.84e-07  1.40 MC2014    np 
009048551 229  4121 4.63 9.64e-08  8.55 MC2014    np 
004355503 228  3585 4.87 1.77e-07  5.45 MC2014    np 
006547641 228  4704 4.75 1.79e-07  3.87 MC2014    np 
011186837 228  5985 4.55 2.08e-07  1.85 MC2014    np 
011717648 228  4162 4.65 1.01e-07  9.04 MC2014    np 
008776565 227  3502 4.93 1.75e-07  2.68 MC2014    np 
008807085 227  3563 4.85 4.29e-07  3.26 MC2014    np 
010070247 227  4607 4.60 6.16e-07  7.43 MC2014    np 
011918550 227  3844 4.76 5.85e-08 -1.00 This_Work np 
007036755 226  4425 4.76 1.86e-07  3.78 MC2014    np 
012401644 225  5068 4.65 5.97e-07  7.59 MC2014    np 
008695402 223  5889 3.98 8.77e-08  1.62 This_Work np 
005516671 222  3605 4.80 2.35e-07  2.54 Rein2013  np 
009017693 222  3323 4.99 2.30e-07  7.30 MC2014    np 
011350063 222  3418 5.03 2.65e-07  2.10 MC2014    np 
011196403 221  4079 4.63 3.10e-07  3.61 MC2014    np 
003934090 219  3823 4.73 2.77e-07  5.82 MC2014    np 
007551695 219  4194 4.61 4.74e-07  3.91 MC2014    np 
005609753 218  5203 4.64 1.96e-07  3.25 MC2014    np 
005647463 218  4999 4.66 5.11e-07  1.54 MC2014    np 
006865416 216  5435 4.47 2.16e-07  3.30 MC2014    np 
008607728 216  3351 5.10 2.39e-08 24.69 This_Work np 
006521526 215  3749 4.67 2.80e-07  7.45 MC2014    np 
008149616 215  3332 4.99 1.40e-07  1.78 MC2014    np 
008249139 214  5395 3.78 4.80e-07 10.48 MC2014    np 
005428088 213  3671 4.80 1.98e-07 11.71 Rein2013  np 
005694127 213  4303 4.60 3.25e-07  2.10 MC2014    np 
010452252 213  3374 5.07 1.15e-07 26.99 This_Work np 
003439126 211  4236 4.61 2.38e-07  7.90 MC2014    np 
006195999 211  5386 4.52 1.50e-07  2.89 MC2014    np 
007339348 211  5827 4.25 7.47e-08  2.08 This_Work p  
004068539 209  4946 3.32 2.81e-07 13.25 This_Work np 
005607395 209  3827 4.73 2.77e-07  6.11 MC2014    np 
011068661 209  4679 4.60 1.37e-06 11.83 MC2014    np 
011870769 209  3522 4.85 2.74e-07  5.89 MC2014    np 
012646843 208  3938 4.68 3.83e-07  3.26 This_Work p  
001872340 208  5059 3.47 2.76e-07 10.79 Rein2013  np 
002300039 205  3408 4.92 1.55e-07  1.71 MC2014    np 
006611875 205  3384 4.94 5.85e-08 25.35 MC2014    np 
008144647 204  5238 4.64 3.27e-07  3.02 MC2014    np 
008959288 204  5191 4.56 5.05e-07  9.96 MC2014    np 
012258225 204  3849 4.70 2.76e-07  0.95 MC2014    np 
011819949 204  5129 3.88 1.26e-07  2.30 MC2014    np 
001722506 203  4335 4.74 1.74e-07 10.65 MC2014    np 
003222610 203  4260 4.61 1.05e-07  4.91 MC2014    np 
005461756 203  4014 4.64 1.37e-07  6.62 Rein2013  np 
006045059 203  5180 4.54 3.70e-07 10.81 MC2014    np 
006119605 203  5250 4.68 4.45e-07  6.18 MC2014    np 
007885309 203  4679 4.74 1.90e-07  7.05 MC2014    np 
008004647 203  4985 4.70 7.82e-07  3.64 MC2014    np 
008873448 202  4063 4.65 3.35e-07  3.46 MC2014    np 
008977910 202  3293 5.03 1.47e-07 10.76 MC2014    np 
007339343 201  5810 4.31 9.15e-08  2.06 This_Work p  
012303977 201  4653 4.71 6.93e-07  8.91 MC2014    np 
006530792 200  3469 4.88 3.08e-07  5.18 MC2014    np 
006034120 199  5606 4.59 2.99e-07  5.72 MC2014    np 
012156549 199  5888 4.37 1.12e-06  3.65 MC2014    np 
011232205 198  5367 3.97 3.71e-07  2.55 MC2014    np 
009827094 198  5790 4.28 7.86e-08  3.30 MC2014    np 
004059416 198  5313 4.62 2.31e-07  1.95 MC2014    np 
006529378 197  4484 4.62 7.96e-07  6.86 This_Work np 
008873450 197  4450 4.58 3.10e-07  3.39 MC2014    np 
010960823 197  3554 4.91 2.34e-07 12.17 MC2014    np 
006508436 196  5706 4.56 1.29e-07  2.14 MC2014    np 
007765762 196  4130 4.65 1.89e-07 10.05 MC2014    np 
008817885 195  4986 3.71 3.52e-07  9.52 Rein2013  np 
009479539 194  3315 5.00 4.63e-07  1.86 MC2014    np 
006269092 194  4518 4.62 2.63e-07 16.22 This_Work np 
006674908 193  4013 4.64 8.13e-08 10.07 MC2014    np 
011970692 193  4885 3.19 4.58e-07 28.29 This_Work np 
008957218 192  5477 3.96 9.80e-08 11.27 MC2014    np 
002854839 191  4955 4.56 8.89e-08 14.29 This_Work np 
007907119 191  4074 4.65 7.37e-08  9.23 MC2014    np 
009643210 191  3274 5.04 1.89e-07 29.77 MC2014    np 
008415004 190  3731 4.74 4.54e-07  1.23 MC2014    np 
004180534 190  4746 3.07 1.98e-07  3.95 This_Work np 
008431229 189  5547 3.83 1.44e-07  3.59 MC2014    np 
008610168 189  5412 3.88 2.99e-07  3.46 MC2014    np 
009048949 189  5190 4.49 1.38e-07  3.46 MC2014    np 
010973465 189  5174 4.60 5.02e-07  1.10 MC2014    np 
009019435 188  3489 4.87 1.23e-07  3.03 MC2014    np 
011465987 188  5174 4.61 4.00e-07  1.50 MC2014    np 
012356051 188  3389 4.95 1.32e-07 15.78 MC2014    np 
005597406 188  4708 4.68 4.83e-07  3.10 This_Work p  
003852116 187  4555 4.61 3.24e-07  3.11 MC2014    np 
005608002 187  3223 5.12 2.38e-07  6.19 MC2014    np 
006290811 187  3546 4.87 9.48e-08  2.83 MC2014    np 
010584063 187  3323 4.99 1.53e-07  1.60 MC2014    np 
004741455 186  3801 4.75 2.21e-07  5.02 MC2014    np 
004929016 186  4090 4.64 3.32e-07 11.95 Rein2013  np 
003557532 185  5383 4.61 2.15e-07  2.02 MC2014    np 
008832676 185  3737 4.78 3.26e-07 10.95 MC2014    np 
010139305 185  5008 4.66 2.52e-07  1.35 MC2014    np 
011515276 185  3618 4.86 3.15e-07  5.96 MC2014    np 
006225816 184  4519 4.59 1.72e-07  2.17 This_Work np 
005784256 181  4973 4.62 3.42e-07  3.45 MC2014    np 
011808734 181  3620 4.82 1.78e-07  6.57 MC2014    np 
007434110 180  3310 5.05 1.53e-07  1.81 MC2014    np 
010165244 180  4090 4.61 4.66e-07  1.76 Rein2013  np 
007939565 179  3295 5.06 2.18e-07  4.05 MC2014    np 
010422252 179  5279 4.48 2.61e-07  5.44 Rein2013  np 
012007544 179  3764 4.73 1.57e-07  2.76 MC2014    np 
